well_id,offset_well_id,distance_m,same_zone,rank,_ingested_at,_source_system,_source_file,_batch_id
GK-001,GK-114,491.3,False,1,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_offsets.parquet,BATCH-GELEKI-20260923-V1
GK-001,GK-113,550.0,False,2,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_offsets.parquet,BATCH-GELEKI-20260923-V1
GK-001,GK-126,679.1,False,3,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_offsets.parquet,BATCH-GELEKI-20260923-V1
GK-001,GK-039,684.2,False,4,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_offsets.parquet,BATCH-GELEKI-20260923-V1
GK-001,GK-019,689.2,False,5,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_offsets.parquet,BATCH-GELEKI-20260923-V1
GK-001,GK-070,744.2,False,6,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_offsets.parquet,BATCH-GELEKI-20260923-V1
GK-002,GK-107,183.9,False,1,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_offsets.parquet,BATCH-GELEKI-20260923-V1
GK-002,GK-082,262.9,True,2,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_offsets.parquet,BATCH-GELEKI-20260923-V1
GK-002,GK-097,303.5,False,3,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_offsets.parquet,BATCH-GELEKI-20260923-V1
GK-002,GK-074,338.0,False,4,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_offsets.parquet,BATCH-GELEKI-20260923-V1
