run_date,well_id,trigger_a,trigger_a_days,trigger_a_residual_pct,trigger_b,trigger_b_days_since,trigger_b_p50_days,trigger_c,trigger_d,mechanism,mechanism_confidence,chan_class,chan_wor_slope,fillage_gap_blpd,offset_verdict,rejected_mechanisms,ettf_days,ettf_ci_low,ettf_ci_high,hazard,recommended_job_code,requires_rig,est_duration_days,p_success,p_success_n,deferred_bbl_avoided,net_value,priority,rank_overall,rank_within_queue,queue,logistics_blocker,earliest_start_date,tool_trace,model_version,config_version,data_as_of,data_lag_days,run_confidence,confidence_reason,tested_days_90d,allocation_basis_id,_ingested_at,_source_system,_source_file,_batch_id
2026-09-23,GK-001,,0,-2.5,False,95.0,185.0,,False,,HIGH,NORMAL,0.02,4.5,WELL_SPECIFIC,[],155.0,95.0,225.0,0.006,,False,0.0,0.68,25,0.0,0.0,0.0,,,NONE,,,"[{""tool"": ""TC-001:fit_decline_curve"", ""well_id"": ""GK-001"", ""status"": ""OK""}, {""tool"": ""TC-007:trigger_scan"", ""well_id"": ""GK-001"", ""status"": ""OK""}]",coxph-v1.0-geleki,1.0.0-geleki,2026-09-23,0,NORMAL,,4,GGS-BASIS-2026Q3-GK-001,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_run.parquet,BATCH-GELEKI-20260923-V1
2026-09-23,GK-002,,0,-2.5,False,95.0,185.0,,False,,HIGH,NORMAL,0.02,4.5,WELL_SPECIFIC,[],155.0,95.0,225.0,0.006,,False,0.0,0.68,25,0.0,0.0,0.0,,,NONE,,,"[{""tool"": ""TC-001:fit_decline_curve"", ""well_id"": ""GK-002"", ""status"": ""OK""}, {""tool"": ""TC-007:trigger_scan"", ""well_id"": ""GK-002"", ""status"": ""OK""}]",coxph-v1.0-geleki,1.0.0-geleki,2026-09-23,0,NORMAL,,5,GGS-BASIS-2026Q3-GK-002,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_run.parquet,BATCH-GELEKI-20260923-V1
2026-09-23,GK-003,,0,-2.5,False,95.0,185.0,,False,,HIGH,NORMAL,0.02,4.5,WELL_SPECIFIC,[],155.0,95.0,225.0,0.006,,False,0.0,0.68,25,0.0,0.0,0.0,,,NONE,,,"[{""tool"": ""TC-001:fit_decline_curve"", ""well_id"": ""GK-003"", ""status"": ""OK""}, {""tool"": ""TC-007:trigger_scan"", ""well_id"": ""GK-003"", ""status"": ""OK""}]",coxph-v1.0-geleki,1.0.0-geleki,2026-09-23,0,NORMAL,,5,GGS-BASIS-2026Q3-GK-003,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_run.parquet,BATCH-GELEKI-20260923-V1
2026-09-23,GK-004,,0,-2.5,False,95.0,185.0,,False,,HIGH,NORMAL,0.02,4.5,WELL_SPECIFIC,[],155.0,95.0,225.0,0.006,,False,0.0,0.68,25,0.0,0.0,0.0,,,NONE,,,"[{""tool"": ""TC-001:fit_decline_curve"", ""well_id"": ""GK-004"", ""status"": ""OK""}, {""tool"": ""TC-007:trigger_scan"", ""well_id"": ""GK-004"", ""status"": ""OK""}]",coxph-v1.0-geleki,1.0.0-geleki,2026-09-23,0,NORMAL,,4,GGS-BASIS-2026Q3-GK-004,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_run.parquet,BATCH-GELEKI-20260923-V1
2026-09-23,GK-005,,0,-2.5,False,95.0,185.0,,False,,HIGH,NORMAL,0.02,4.5,WELL_SPECIFIC,[],155.0,95.0,225.0,0.006,,False,0.0,0.68,25,0.0,0.0,0.0,,,NONE,,,"[{""tool"": ""TC-001:fit_decline_curve"", ""well_id"": ""GK-005"", ""status"": ""OK""}, {""tool"": ""TC-007:trigger_scan"", ""well_id"": ""GK-005"", ""status"": ""OK""}]",coxph-v1.0-geleki,1.0.0-geleki,2026-09-23,0,NORMAL,,5,GGS-BASIS-2026Q3-GK-005,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_run.parquet,BATCH-GELEKI-20260923-V1
2026-09-23,GK-006,,0,-2.5,False,95.0,185.0,,False,,HIGH,NORMAL,0.02,4.5,WELL_SPECIFIC,[],155.0,95.0,225.0,0.006,,False,0.0,0.68,25,0.0,0.0,0.0,,,NONE,,,"[{""tool"": ""TC-001:fit_decline_curve"", ""well_id"": ""GK-006"", ""status"": ""OK""}, {""tool"": ""TC-007:trigger_scan"", ""well_id"": ""GK-006"", ""status"": ""OK""}]",coxph-v1.0-geleki,1.0.0-geleki,2026-08-05,49,LOW_CONFIDENCE,Data lag > 3 days,2,GGS-BASIS-2026Q3-GK-006,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_run.parquet,BATCH-GELEKI-20260923-V1
2026-09-23,GK-007,,0,-2.5,False,95.0,185.0,,False,,HIGH,NORMAL,0.02,4.5,WELL_SPECIFIC,[],155.0,95.0,225.0,0.006,,False,0.0,0.68,25,0.0,0.0,0.0,,,NONE,,,"[{""tool"": ""TC-001:fit_decline_curve"", ""well_id"": ""GK-007"", ""status"": ""OK""}, {""tool"": ""TC-007:trigger_scan"", ""well_id"": ""GK-007"", ""status"": ""OK""}]",coxph-v1.0-geleki,1.0.0-geleki,2026-09-23,0,NORMAL,,5,GGS-BASIS-2026Q3-GK-007,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_run.parquet,BATCH-GELEKI-20260923-V1
2026-09-23,GK-008,,0,-2.5,False,95.0,185.0,,False,,HIGH,NORMAL,0.02,4.5,WELL_SPECIFIC,[],155.0,95.0,225.0,0.006,,False,0.0,0.68,25,0.0,0.0,0.0,,,NONE,,,"[{""tool"": ""TC-001:fit_decline_curve"", ""well_id"": ""GK-008"", ""status"": ""OK""}, {""tool"": ""TC-007:trigger_scan"", ""well_id"": ""GK-008"", ""status"": ""OK""}]",coxph-v1.0-geleki,1.0.0-geleki,2026-09-23,0,NORMAL,,0,GGS-BASIS-2026Q3-GK-008,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_run.parquet,BATCH-GELEKI-20260923-V1
2026-09-23,GK-009,,0,-2.5,False,95.0,185.0,,False,,HIGH,NORMAL,0.02,4.5,WELL_SPECIFIC,[],155.0,95.0,225.0,0.006,,False,0.0,0.68,25,0.0,0.0,0.0,,,NONE,,,"[{""tool"": ""TC-001:fit_decline_curve"", ""well_id"": ""GK-009"", ""status"": ""OK""}, {""tool"": ""TC-007:trigger_scan"", ""well_id"": ""GK-009"", ""status"": ""OK""}]",coxph-v1.0-geleki,1.0.0-geleki,2026-09-23,0,NORMAL,,5,GGS-BASIS-2026Q3-GK-009,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_run.parquet,BATCH-GELEKI-20260923-V1
2026-09-23,GK-010,,0,-2.5,False,95.0,185.0,,False,,HIGH,NORMAL,0.02,4.5,WELL_SPECIFIC,[],155.0,95.0,225.0,0.006,,False,0.0,0.68,25,0.0,0.0,0.0,,,NONE,,,"[{""tool"": ""TC-001:fit_decline_curve"", ""well_id"": ""GK-010"", ""status"": ""OK""}, {""tool"": ""TC-007:trigger_scan"", ""well_id"": ""GK-010"", ""status"": ""OK""}]",coxph-v1.0-geleki,1.0.0-geleki,2026-09-23,0,NORMAL,,4,GGS-BASIS-2026Q3-GK-010,2026-09-23T16:00:00Z,GENERATOR,gs://well-workover-intervention-data/landing/generator/2026/09/23/well_run.parquet,BATCH-GELEKI-20260923-V1
